帳戶,幣種,記錄類型,主類別,子類別,金額,手續費,折扣,名稱,商家,日期,時間
現金,TWD,支出,飲食,晚餐,-500,0,0,,,2020/1/1,00:23
現金,TWD,支出,飲食,午餐,-335,0,0,,,2020/1/1,12:30
現金,TWD,支出,飲食,早餐,-95,0,0,,,2020/1/1,18:15
現金,TWD,支出,飲食,點心,-81,0,0,,,2020/1/1,18:15
現金,TWD,支出,飲食,飲料,-30,0,2,,迷客夏,2020/1/2,20:03
現金,TWD,支出,飲食,點心,-304,0,0,,全聯,2020/1/2,20:14
現金,TWD,支出,飲食,飲料,-30,0,0,,,2020/1/3,18:22
現金,TWD,支出,飲食,午餐,-100,0,0,,,2020/1/3,18:22
現金,TWD,支出,飲食,早餐,-80,0,0,,,2020/1/3,18:22
現金,TWD,支出,飲食,飲料,-25,0,0,,呈瑞冷飲,2020/1/3,19:32
現金,TWD,支出,飲食,晚餐,-683,0,0,,,2020/1/4,20:01
現金,TWD,支出,飲食,早餐,-119,0,0,,,2020/1/4,20:16
現金,TWD,支出,飲食,食品,-165,0,0,,全聯,2020/1/5,08:59
現金,TWD,支出,飲食,飲料,-31,0,0,,全聯,2020/1/5,08:59
現金,TWD,支出,飲食,點心,-28,0,0,,全聯,2020/1/5,08:59
現金,TWD,支出,飲食,點心,-39,0,0,,全聯,2020/1/5,11:53
現金,TWD,支出,飲食,飲料,-30,0,2,,迷客夏,2020/1/5,12:46
現金,TWD,支出,飲食,午餐,-120,0,0,,,2020/1/5,15:33
現金,TWD,支出,飲食,晚餐,-284,0,0,,,2020/1/5,15:33
現金,TWD,支出,飲食,市場,-150,0,0,,,2020/1/5,15:33
現金,TWD,支出,飲食,點心,-80,0,0,,,2020/1/5,16:00
現金,TWD,支出,飲食,午餐,-60,0,0,,,2020/1/6,19:01
現金,TWD,支出,飲食,午餐,-525,0,0,,,2020/1/7,19:01
現金,TWD,支出,飲食,晚餐,-220,0,0,,,2020/1/7,19:03
現金,TWD,支出,飲食,飲料,-30,0,2,,迷客夏,2020/1/7,20:19
現金,TWD,支出,醫療,門診,-150,0,0,,,2020/1/7,22:08
現金,TWD,支出,飲食,點心,-593,0,17,,全聯,2020/1/8,20:39
現金,TWD,支出,飲食,午餐,-60,0,0,,,2020/1/8,20:39
現金,TWD,支出,飲食,早餐,-80,0,0,,,2020/1/8,20:40
現金,TWD,支出,飲食,午餐,-75,0,0,,,2020/1/9,20:40
現金,TWD,支出,飲食,點心,-189,0,0,,全聯,2020/1/9,21:15
現金,TWD,支出,飲食,午餐,-45,0,10,,云品商行逢甲門市,2020/1/10,12:15
現金,TWD,支出,飲食,午餐,-45,0,0,,,2020/1/10,20:41
現金,TWD,支出,飲食,水果,-124,0,0,,,2020/1/10,20:41
現金,TWD,支出,飲食,晚餐,-290,0,0,,,2020/1/10,20:41
現金,TWD,支出,飲食,飲料,-119,0,0,,歡庭餐飲,2020/1/11,12:57
現金,TWD,支出,飲食,早餐,-220,0,0,,,2020/1/11,12:57
現金,TWD,支出,飲食,午餐,-179,0,0,,,2020/1/11,12:58
現金,TWD,支出,飲食,午餐,-129,0,0,,,2020/1/11,12:58
現金,TWD,支出,飲食,點心,-31,0,0,,全聯,2020/1/11,14:31
現金,TWD,支出,飲食,晚餐,-170,0,0,,,2020/1/11,22:34
現金,TWD,支出,飲食,晚餐,-295,0,0,,,2020/1/12,20:08
現金,TWD,支出,飲食,點心,-50,0,0,,,2020/1/12,20:08
現金,TWD,支出,飲食,早餐,-176,0,0,,,2020/1/12,20:09
現金,TWD,支出,飲食,午餐,-290,0,0,,,2020/1/12,20:09
現金,TWD,支出,飲食,點心,-15,0,0,,,2020/1/12,20:09
現金,TWD,支出,飲食,點心,-52,0,0,,全聯,2020/1/13,09:21
現金,TWD,支出,飲食,飲料,-31,0,0,,全聯,2020/1/13,09:21
現金,TWD,支出,飲食,點心,-56,0,0,,全聯,2020/1/13,09:21
現金,TWD,支出,飲食,點心,-378,0,0,,,2020/1/13,09:47
現金,TWD,支出,飲食,早餐,-98,0,0,,,2020/1/13,12:33
現金,TWD,支出,醫療,門診,-580,0,0,,,2020/1/13,12:33
現金,TWD,支出,飲食,飲料,-112,0,0,,,2020/1/13,18:35
